Authors,Dates
"['Mitra S W', 'Goff S', 'Gilboa E', 'Baltimore D']",1979-9-1
"['McKenzie I F', 'Potter T']",1979-1-1
"['Zinkernagel R M', 'Doherty P C']",1979-1-1
"['Yamashita K', 'Wake N', 'Araki T', 'Ichinoe K', 'Makoto K']",1979-11-1
"['Mikelsaar A V', 'Ilus T']",1979-10-2
"['Modiano G', 'Brancati C', 'Marinucci M', 'Massa A', 'Mavilio F', 'Tentori L']",1979-1-1
"['Solinger A M', 'Ultee M E', 'Margoliash E', 'Schwartz R H']",1979-10-1
"['Clark D P', 'Beard J P']",1979-8-1
['Malin J P'],1979-8-1
"['de Mouzon A', 'Ohayon E', 'Ducos J', 'Hamptmann G']",1979-12-22
"['Sognier M A', 'Hittelman W N']",1979-10-1
['Iskandar O'],1979-7-1
"['Shanmugam K T', 'Chan I', 'Morandi C']",1975-11-11
"['Ledbetter M L', 'Hotchkiss R D']",1975-8-1
"['DeLeo A B', 'Sprinson D B']",1975-12-1
"['Zalkin H', 'Murphy T']",1975-12-15
"['Dhawale M R', 'Creaser E H']",1975-12-1
"['Chern C J', 'Beutler E']",1976-1-1
['Robinson A S'],1976-2-1
"['Arwert F', 'Bjursell G', 'Rutberg L']",1976-2-1
"['Alter B P', 'Friedman S', 'Hobbins J C', 'Mahoney M J', 'Sherman A S', 'McSweeney J F', 'Nathan D G', 'Schwartz E']",1976-5-6
"['van Zyl J A', 'Menkveld R', 'van Kotze T J', 'Retief A E', 'van Niekerk W A']",1975-1-1
"['Rhoads D B', 'Waters F B', 'Epstein W']",1976-3-1
['Lambert D M'],1976-3-1
"['Ashburner M', 'Lemeunier F']",1975-4-13
"['Pearce J M', 'Edwards Y H', 'Harris H']",1976-1-1
"['Wilson D E', 'Povey S', 'Harris H']",1976-1-1
['Zhurkov V S'],1975-4-1
"['Bender R A', 'Macaluso A', 'Magasanik B']",1976-7-1
"['Jones-Mortimer M C', 'Kornberg H L']",1976-5-18
['Magasanik B'],1976-1-1
"['Silbert D F', 'Pohlman T', 'Chapman A']",1976-6-1
['Kitzmiller J B'],1976-1-1
"['Nakamuro K', 'Yoshikawa K', 'Sayato Y', 'Kurata H', 'Tonomura M']",1976-7-1
"['Klein J', 'Egorov I K', 'Mnatsakanyan Y A', 'Hauptfeld V']",1976-1-1
"['Swallow D M', 'Evans L', 'Saha N', 'Harris H']",1976-7-1
"['Brett M', 'Chambers G K', 'Holder A A', 'Fincham J R', 'Wootton J C']",1976-9-5
"['Bach F H', 'van Rood J J']",1976-10-21
"['Volkosh L P', 'Yavorovskaya V E', 'Blagerman S K', 'Bocharov E F']",1976-6-1
"['Schlesinger H R', 'Gerson J M', 'Moorhead P S', 'Maguire H', 'Hummeler K']",1976-9-1
"['Cohen J', 'Iffy L', 'Keyser H H']",1976-1-1
"['Gadow E C', 'Paz J E', 'Castilla E E', 'Rothe D J', 'Cederqvist L L']",1976-1-1
['Bomsel-Helmreich O'],1976-1-1
"['Broach J', 'Neumann C', 'Kustu S']",1976-10-1
['Kornberg H L'],1976-9-1
"['Adachi K', 'Ingalls T H']",1976-11-26
['Simonsen M'],1976-9-1
['Klein J'],1976-9-1
"['Zolotareva G N', 'Lavretskaia E F', 'Oblapenko N G', 'Suraĭkina T I', 'Fonshteĭn L M']",1976-7-1
"['Graf G', 'Guttman S', 'Barrett G']",1976-1-1
['Nilas K'],1976-11-11
"['Mourant A E', 'Godber M J', 'Kopeć A C', 'Tills D', 'Woodhead B G']",1976-8-27
['DaRugna D'],1976-9-4
['Amos D B'],1976-12-1
"['Matossian-Rogers A', 'Festenstein H']",1976-1-1
"['Dewald G W', 'Kelalis P P', 'Gordon H']",1977-1-1
"['Piggot P J', 'Coote J G']",1976-12-1
"['Scott B R', 'Pathak M A', 'Mohn G R']",1976-1-1
"['Starmer W T', 'Heed W B', 'Rockwood-Sluss E S']",1977-1-1
['Hoffmann R J'],1976-12-1
['Emerit I'],1976-1-1
"['Janssen K A', 'Magasanik B']",1977-2-1
['Alekseev A N'],1976-3-1
['Stuttgart G T'],1977-1-1
"['Ishii T', 'Yanagida M']",1977-2-5
"['McAlpine P J', 'Mohandes T', 'Ray M', 'Hamerton J L']",1976-1-1
"['Boué J', 'Boué A']",1976-1-1
"['Langer A', 'Devanesan M', 'Pelosi M A']",1976-1-1
"['Gelfand D H', 'Steinberg R A']",1977-4-1
['Darlington C D'],1977-3-21
"['Riley R', 'Flavell R B']",1977-3-21
"['Callan H G', 'Perry P E']",1977-3-21
['von Wettstein D'],1977-3-21
['Maguire M P'],1977-3-21
"['Stern H', 'Hotta Y']",1977-3-21
"['Lindsley D L', 'Sandler L']",1977-3-21
"['Dover G A', 'Riley R']",1977-3-21
['Rasmussen S W'],1977-3-21
['Holliday R'],1977-3-21
['Stern H'],1977-3-21
['Lewis G'],1977-1-25
['Lewis G'],1977-1-25
['Parkman R'],1977-1-1
"['Götze D', 'Rössler R', 'Thierfelder S']",1977-3-1
['Klein J'],1977-3-1
['Fossati C'],1977-4-30
"['Harris J W', 'Koch C J', 'Power J A', 'Biaglow J E']",1977-6-1
"['Olinici C D', 'Boloşiu H D']",1977-3-1
"['Jongsma A P', 'Burgerhout W G']",1977-1-1
"['Seale T W', 'Brett M', 'Baron A J', 'Fincham J R']",1977-6-1
